Diploma Course,Poly_name,Poly_short,School,Course Codes,Type,Agg Type,JAE 2023 Intake,JAE 2024 Intake,JAE 2014 ELR2B2,JAE 2015 ELR2B2,JAE 2016 ELR2B2,JAE 2017 ELR2B2,JAE 2018 ELR2B2,JAE 2019 ELR2B2,JAE 2020 ELR2B2,JAE 2021 ELR2B2,JAE 2022 ELR2B2,JAE 2023 ELR2B2,JAE 2024 ELR2B2
ACCOUNTANCY,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N51,BM,B,135,135,11,12,11,11,11,9,10,11,11,12,11
BANKING & FINANCE,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N53,BM,B,75,75,10,10,10,10,11,9,10,11,11,10,9
BUSINESS STUDIES,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N45,BM,B,150,150,11,11,10,10,11,8,9,9,8,8,8
COMMON BUSINESS PROGRAMME,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N97,BM,B,220,220,-,-,-,-,-,12,11,12,12,12,11
INTERNATIONAL TRADE & BUSINESS,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N85,BM,B,75,75,-,-,-,-,10,10,11,12,13,13,13
TOURISM & RESORT MANAGEMENT,Ngee Ann Polytechnic,NP,School of Business & Accountancy,N72,BM,B,50,50,10,10,10,11,11,11,12,13,17,15,14
DESIGN,Ngee Ann Polytechnic,NP,School of Design & Environment,N12,MD,D,75,70,-,-,-,-,-,-,15,14,15,15,15
HOTEL & LEISURE FACILITIES MANAGEMENT,Ngee Ann Polytechnic,NP,School of Design & Environment,N40,BE,C,95,75,13,13,13,12,13,12,13,17,18,17,16
REAL ESTATE BUSINESS,Ngee Ann Polytechnic,NP,School of Design & Environment,N48,BM,B,75,75,16,15,16,16,16,15,14,15,14,14,14
AEROSPACE ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N65,EN,C,125,125,13,13,13,13,13,9,11,16,19,18,16
BIOMEDICAL ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N60,EN,C,50,50,15,14,14,13,12,10,10,12,11,11,11
COMMON ENGINEERING PROGRAMME,Ngee Ann Polytechnic,NP,School of Engineering,N71,EN,C,325,300,-,-,-,-,-,21,19,19,26,24,22
ELECTRICAL ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N43,EN,C,75,75,26,23,22,21,20,20,21,20,20,24,23
ELECTRONIC & COMPUTER ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N44,EN,C,125,125,26,22,21,19,17,16,15,16,16,16,17
ENGINEERING SCIENCE,Ngee Ann Polytechnic,NP,School of Engineering,N93,EN,C,40,40,8,9,9,8,10,8,11,12,12,11,9
MECHANICAL ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N41,EN,C,125,120,21,19,19,18,17,16,18,22,20,26,24
MECHATRONICS & ROBOTICS (Automation & Mechatronic Systems),Ngee Ann Polytechnic,NP,School of Engineering,N50,EN,C,75,70,22,20,20,19,19,17,17,20,19,26,24
OFFSHORE & SUSTAINABLE ENGINEERING,Ngee Ann Polytechnic,NP,School of Engineering,N42,MS,C,40,40,17,16,18,18,20,18,18,18,25,25,25
COMMON MEDIA PROGRAMME,Ngee Ann Polytechnic,NP,School of Film & Media Studies,N14,MD,A,70,65,-,-,-,-,-,-,-,-,-,12,12
"FILM, SOUND & VIDEO",Ngee Ann Polytechnic,NP,School of Film & Media Studies,N82,MD,D,40,40,12,11,12,9,10,9,8,12,11,11,11
MASS COMMUNICATION,Ngee Ann Polytechnic,NP,School of Film & Media Studies,N67,MD,A,75,70,10,10,10,10,10,10,8,10,11,8,10
MEDIA POST-PRODUCTION,Ngee Ann Polytechnic,NP,School of Film & Media Studies,N13,MD,D,40,40,-,-,-,-,-,-,12,13,12,13,14
NURSING,Ngee Ann Polytechnic,NP,School of Health Sciences,N69,HS,C,600,580,28,28,28,26,28,28,28,28,28,26,26
OPTOMETRY,Ngee Ann Polytechnic,NP,School of Health Sciences,N83,HS,C,45,45,14,13,13,12,13,12,12,13,13,13,12
ARTS BUSINESS MANAGEMENT,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N91,BM,B,40,40,9,10,10,10,11,10,8,9,13,12,13
CHINESE MEDIA & COMMUNICATION,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N88,MD,A,40,40,13,14,16,12,15,13,12,11,15,13,13
CHINESE STUDIES,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N70,HU,A,50,45,15,15,16,16,14,13,10,13,13,12,13
EARLY CHILDHOOD DEVELOPMENT & EDUCATION,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N96,HU,A,450,440,-,-,-,-,-,15,17,18,21,23,20
PSYCHOLOGY & COMMUNITY DEVELOPMENT,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N11,HU,A,50,75,-,-,-,-,-,-,9,10,13,13,13
TAMIL STUDIES WITH EARLY EDUCATION,Ngee Ann Polytechnic,NP,School of Humanities & Social Sciences & Interdisciplinary Studies,N95,HU,A,30,20,-,-,-,23,21,22,22,21,17,20,22
COMMON ICT PROGRAMME,Ngee Ann Polytechnic,NP,School of InfoComm Technology,N98,ID,C,125,125,-,-,-,-,-,13,11,13,13,12,14
CYBERSECURITY & DIGITAL FORENSICS,Ngee Ann Polytechnic,NP,School of InfoComm Technology,N94,ID,C,75,75,-,11,10,10,10,8,8,8,8,10,11
DATA SCIENCE,Ngee Ann Polytechnic,NP,School of InfoComm Technology,N81,ID,C,50,50,15,14,14,13,13,10,12,11,11,10,12
IMMERSIVE MEDIA,Ngee Ann Polytechnic,NP,School of InfoComm Technology,N55,ID,C,50,50,15,15,15,15,14,13,13,16,15,14,16
INFORMATION TECHNOLOGY,Ngee Ann Polytechnic,NP,School of InfoComm Technology,N54,ID,C,125,120,18,16,15,14,13,10,12,15,15,14,15
BIOMEDICAL SCIENCE,Ngee Ann Polytechnic,NP,School of Life Sciences & Chemical Technology,N59,AS,C,60,57,9,8,8,8,7,8,8,8,8,7,7
CHEMICAL & BIOMOLECULAR ENGINEERING,Ngee Ann Polytechnic,NP,School of Life Sciences & Chemical Technology,N56,AS,C,75,70,13,12,13,12,12,10,11,11,12,12,12
COMMON SCIENCE PROGRAMME,Ngee Ann Polytechnic,NP,School of Life Sciences & Chemical Technology,N15,AS,C,50,48,-,-,-,-,-,-,-,-,-,9,9
ENVIRONMENTAL & WATER TECHNOLOGY,Ngee Ann Polytechnic,NP,School of Life Sciences & Chemical Technology,N74,AS,C,45,45,16,15,15,15,15,14,14,14,16,15,17
LANDSCAPE DESIGN & HORTICULTURE,Ngee Ann Polytechnic,NP,School of Life Sciences & Chemical Technology,N57,AS,D,40,40,19,17,18,16,17,15,15,16,14,16,16
PHARMACEUTICAL SCIENCE,Ngee Ann Polytechnic,NP,School of Life Sciences & Chemical Technology,N73,AS,C,50,55,10,9,9,9,9,8,9,9,9,9,9
